time,trunk_id,jam_duration,tree_size,tree_cost
0,295,1,2,1.13125
0,859,1,4,4.99279
0,872,1,2,1.41037
0,993,1,10,3.01658
0,1095,1,6,3.65873
0,1096,1,2,0.217577
0,1103,1,2,0.116373
0,1247,1,4,0.159837
0,1588,1,2,0.598669
0,2481,1,5,2.36563
0,2516,1,5,2.31086
0,4338,1,2,0.118915
0,5316,1,2,0.78688
0,5350,1,2,0.46159
0,6347,1,2,0.680473
0,6856,1,4,0.199718
0,8040,1,3,0.882075
0,8274,1,2,0.628636
0,8361,1,2,0.749983
0,8910,1,5,2.3678
0,8921,1,4,1.63208
0,8928,1,3,3.98558
0,9518,1,9,4.34019
0,9572,1,2,2.84005
0,9747,1,2,1.3423
0,10196,1,5,2.48046
0,10470,1,5,2.67426
0,10955,1,3,0.188977
0,11524,1,3,1.4036
0,11698,1,2,0.267901
0,11757,1,2,1.39394
0,11807,1,2,0.928935
0,12378,1,2,0.199068
0,12445,1,5,1.76014
0,12461,1,6,1.74266
0,12984,1,2,0.344683
0,15420,1,2,0.468767
0,15959,1,3,1.73829
0,16298,1,2,0.176489
0,17415,1,2,0.115998
0,18185,1,3,0.392031
0,20685,1,3,4.90962
0,20692,1,2,0.209228
0,20752,1,2,0.343661
0,21245,1,2,0.287508
0,21460,1,4,3.08364
0,21462,1,3,2.76168
0,21567,1,2,0.959062
0,22152,1,2,1.32123
0,23632,1,2,0.617158
0,24128,1,2,0.675065
0,24931,1,5,0.0797917
0,26527,1,2,0.423019
0,26590,1,5,0.0784505
0,26696,1,4,0.84164
0,27202,1,3,1.3757
0,27798,1,2,0.615042
0,28232,1,2,0.112332
0,29059,1,2,0.75793
0,29300,1,2,0.829236
0,30473,1,3,6.51696
0,30479,1,3,0.623917
0,30678,1,2,0.304307
0,30791,1,3,2.3119
0,30893,1,2,0.553151
0,30985,1,3,1.81835
0,31004,1,3,0.342649
0,31015,1,2,0.397327
0,31111,1,7,2.99014
0,31143,1,2,1.41421
0,31420,1,3,0.994302
0,31466,1,2,0.820783
0,31565,1,3,2.84821
0,31683,1,4,2.18816
0,32112,1,2,0.592594
0,32131,1,4,0.266773
0,34234,1,2,1.41292
0,34334,1,2,0.797245
0,34462,1,2,0.617183
0,35467,1,2,0.39742
0,36212,1,3,0.88753
0,37195,1,6,5.65782
0,37197,1,5,2.60244
0,37200,1,3,0.72986
0,37215,1,2,1.05575
0,37692,1,3,0.753493
0,38138,1,2,1.38407
0,38360,1,9,8.62046
0,38747,1,2,2.52022
0,39071,1,2,0.763541
0,39613,1,2,0.864949
0,39919,1,2,0.460913
0,39972,1,7,1.99797
0,43650,1,2,0.56768
0,44780,1,8,2.4813
0,46407,1,5,5.39785
0,46704,1,2,0.0620387
0,48887,1,2,1.32771
1,20,1,2,1.8285
1,295,2,2,1.13125
1,946,1,3,6.9289
1,978,1,2,0.575286
1,993,2,12,2.4089
1,1008,2,2,2.96129
1,1036,1,3,0.696964
1,1095,2,7,6.28833
1,1096,2,2,0.201365
1,1103,2,2,0.115796
1,1117,1,2,0.200092
1,1184,1,4,0.707571
1,1278,1,3,2.96438
1,1451,1,2,0.590316
1,1551,1,2,0.532646
1,1588,2,2,0.598669
1,1908,1,4,0.866901
1,2316,1,2,0.446025
1,2326,1,4,0.688401
1,2480,1,3,0.34943
1,2481,2,5,2.36563
1,2516,2,2,1.06219
1,3182,1,2,1.77277
1,3393,1,2,0.714989
1,3978,1,2,1.57682
1,4007,1,2,0.780003
1,4338,2,4,0.372028
1,4812,1,3,0.34895
1,5172,1,2,1.12159
1,5350,2,2,0.46159
1,5398,1,2,0.949748
1,5429,1,3,1.2235
1,6347,2,2,0.680473
1,6856,2,4,0.199718
1,8040,2,3,0.882075
1,8294,1,3,1.02961
1,8472,1,2,0.305665
1,8921,2,4,1.63208
1,8928,2,3,3.9786
1,9721,1,2,1.93352
1,9766,1,2,1.80558
1,9793,1,5,2.38808
1,9980,1,3,2.16186
1,10330,1,2,0.219699
1,10406,1,2,0.702559
1,10470,2,5,2.11373
1,10955,2,3,0.188977
1,11310,1,2,0.724524
1,11339,1,5,0.194904
1,11388,2,2,0.3919
1,11620,1,3,1.84296
1,11757,2,2,1.27478
1,13191,1,2,0.633052
1,13815,2,4,2.30187
1,13996,1,3,0.911019
1,14106,1,2,0.403759
1,15959,2,3,1.7621
1,16016,1,4,0.819103
1,16695,1,2,0.501591
1,17415,2,2,0.110705
1,17822,1,2,0.132828
1,18185,2,3,0.392031
1,18192,1,2,0.279266
1,18448,1,3,0.719107
1,18627,1,2,0.455605
1,20652,1,2,3.59211
1,20692,2,2,0.209228
1,20726,1,3,3.52269
1,20797,1,2,1.13427
1,20991,1,4,1.08106
1,21245,2,2,0.287508
1,21786,1,2,0.391275
1,22013,1,2,1.51901
1,22780,1,3,1.60975
