time,trunk_id,jam_duration,tree_size,tree_cost
0,184,1,4,0.876221
0,1008,1,2,0.227535
0,1296,1,4,1.02474
0,1780,1,2,0.818316
0,4108,1,2,0.994705
0,5184,1,3,1.55357
0,5284,1,2,0.0753868
0,8902,1,2,0.626299
0,9496,1,3,0.160841
0,9582,1,4,0.687004
0,9597,1,2,0.115009
0,10055,1,2,1.64419
0,10321,1,2,1.89721
0,10470,1,5,2.85328
0,10503,1,3,2.26319
0,10577,1,2,1.35387
0,10645,1,6,2.50435
0,10848,1,2,0.713176
0,10937,1,2,0.573495
0,11004,1,2,0.667534
0,11006,1,3,4.02744
0,11086,1,3,1.72001
0,11571,1,2,0.787879
0,13122,1,2,0.626319
0,13351,1,4,1.73725
0,13714,1,2,0.44
0,14117,1,2,0.669569
0,14871,1,2,0.205455
0,15763,1,2,0.163894
0,15958,1,2,1.00811
0,16045,1,4,2.20765
0,18931,1,2,0.687467
0,19651,1,2,0.501047
0,20810,1,4,1.07457
0,20811,1,3,1.35418
0,20989,1,8,4.31549
0,21137,1,3,3.42317
0,21482,1,2,0.102116
0,21821,1,5,2.39593
0,22186,1,5,2.61073
0,23213,1,2,0.330322
0,23554,1,3,0.540626
0,23987,1,3,1.94726
0,24128,1,3,1.12011
0,25091,1,3,5.26055
0,25098,1,4,1.74667
0,25535,1,2,0.357663
0,26427,1,2,0.449004
0,26779,1,2,0.560727
0,27323,1,2,1.9495
0,28227,1,3,0.217548
0,30511,1,2,0.482299
0,30687,1,2,2.14318
0,30774,1,3,4.19613
0,30944,1,4,3.25902
0,31181,1,3,3.80544
0,31539,1,2,0.722373
0,31597,1,3,3.2541
0,31687,1,6,3.87399
0,32409,1,5,0.377378
0,32776,1,2,0.679023
0,33392,1,3,0.485156
0,33475,1,3,0.958751
0,33588,1,4,0.974429
0,33630,1,4,0.586141
0,35607,1,4,0.581128
0,38218,1,4,3.88474
0,38247,1,6,5.04309
0,38311,1,2,2.00231
0,38420,1,2,1.39904
0,38749,1,4,2.88482
0,38848,1,3,0.993696
0,39020,1,3,1.4626
0,39077,1,5,2.58562
0,39347,1,2,0.581012
0,39973,1,2,0.559161
0,42263,1,2,0.677676
0,42907,1,2,0.517111
0,43688,1,4,1.4557
0,44010,1,5,4.46233
0,44112,1,6,3.30104
0,44415,1,5,1.772
0,44447,1,2,0.910023
0,44890,1,2,1.40395
0,44967,1,5,3.19457
0,46704,1,2,0.0485885
0,47223,1,2,0.446114
0,47931,1,3,0.7519
0,49848,1,2,0.949331
1,184,2,2,0.536656
1,706,2,3,3.06518
1,712,1,2,0.423467
1,906,1,2,1.13373
1,957,2,3,0.156816
1,1083,1,2,3.70313
1,1103,1,3,0.0461063
1,1353,1,2,1.201
1,1389,2,3,2.81267
1,1463,1,4,1.01741
1,1780,2,2,0.818316
1,3435,1,2,0.37577
1,3978,1,2,1.60367
1,4108,2,2,0.994705
1,5135,1,2,0.673175
1,5184,2,3,1.22254
1,5284,2,2,0.0753868
1,5298,2,2,0.386313
1,5406,1,4,2.22035
1,7093,1,2,0.735871
1,7670,1,2,1.02566
1,7736,2,4,1.30478
1,7845,1,3,0.418767
1,8454,1,2,0.389157
1,8921,2,3,2.59225
1,9133,1,2,30.6645
1,9597,2,2,0.179307
1,9688,1,2,0.916113
1,9876,1,2,0.498383
1,9936,2,2,1.49984
1,9955,1,3,2.96109
1,10060,2,3,1.65941
1,10063,2,2,1.77362
1,10295,1,2,1.34892
1,10305,2,2,0.230589
1,10321,2,2,1.89721
1,10389,1,2,1.14468
1,10497,1,2,0.156581
1,10567,2,3,0.168066
1,11004,2,2,0.605896
1,11027,1,2,1.23123
1,11086,2,3,1.95782
1,11553,1,5,1.67208
1,11559,1,2,0.255721
1,13122,2,2,0.615995
1,13578,1,2,0.205658
1,13714,2,4,0.622097
1,14871,2,2,0.205455
1,15763,2,2,0.163894
1,15958,2,2,1.00811
1,16045,2,4,2.20765
1,16510,1,8,2.14276
1,16677,1,2,0.883365
1,18060,1,2,0.275401
1,18639,1,2,0.451973
1,18931,2,3,1.14441
1,20698,1,7,6.66744
1,20810,2,4,1.07457
1,21137,2,3,3.42317
1,21155,2,3,1.71929
1,21271,1,3,0.184691
1,21743,2,3,0.478143
1,21938,2,4,1.97034
1,22218,1,5,1.73222
1,22245,1,3,1.9769
1,22269,1,2,0.44556
1,22780,1,3,1.7638
1,22836,1,2,0.711589
1,23213,2,2,0.330322
1,23554,2,3,0.540626
1,23987,2,3,2.54341
1,23992,1,2,0.399242
1,24128,2,3,0.961173
1,24549,1,2,0.161611
1,24916,1,2,0.715233
1,25044,1,7,4.89544
1,25098,2,2,1.56671
1,25535,2,2,0.357663
1,25694,1,2,0.905819
1,25778,1,2,0.552374
1,26427,2,2,0.449004
1,26616,1,2,0.418882
1,26779,2,2,0.560727
1,27217,1,2,0.346787
1,27231,1,6,6.69704
1,27962,1,3,0.9988
1,28227,2,5,0.31796
1,28338,1,3,1.18826
1,28377,1,3,0.882299
1,28989,1,3,0.31208
1,29071,1,2,6.28102
1,29073,1,3,8.4167
1,29173,1,2,0.126161
1,29198,2,2,0.464472
1,29273,1,4,0.457393
1,30478,1,7,3.94833
1,30511,2,5,2.07208
1,30575,1,4,5.35123
1,30687,2,2,2.14318
1,30981,1,3,4.15204
1,31052,1,6,3.94844
1,31181,2,3,3.80544
1,31262,1,2,1.04551
1,31383,2,7,8.35906
1,31467,1,2,1.56457
1,31597,2,3,3.2541
1,31687,2,3,1.67411
1,32201,1,2,0.44117
1,32400,1,2,0.913453
1,32775,2,4,1.06986
1,33392,2,2,0.112085
1,33630,2,4,0.586141
1,33928,1,3,1.31153
1,35595,1,2,0.0508886
1,35607,2,4,0.6547
1,38149,1,2,0.200333
1,38218,2,4,2.3636
1,38220,1,2,0.722755
1,38247,2,6,5.04309
1,38276,1,2,2.85439
1,38311,2,3,2.87165
1,38340,1,3,3.19399
1,38365,1,3,3.58945
1,38509,1,2,0.642
1,38749,2,4,2.88482
1,38848,2,4,1.08547
1,39293,1,5,2.14967
1,39973,2,2,0.559161
1,42263,2,2,0.677676
1,42853,1,3,1.13785
1,42907,2,2,0.651039
1,43123,1,2,1.1932
1,43284,1,2,0.781083
1,43688,2,4,1.4557
1,43984,1,2,5.04748
1,44012,2,3,2.87601
1,44083,1,2,2.50104
1,44136,2,2,0.990154
1,44163,1,8,2.50062
1,44415,2,5,1.9692
1,44447,2,2,0.910023
1,44890,2,2,1.60994
1,44967,2,3,2.57028
1,46704,2,2,0.0485885
1,46758,1,2,0.362926
1,47108,1,2,1.03674
1,47223,2,2,0.446114
1,47931,2,3,0.7519
1,49848,2,2,0.949331
2,20,1,2,1.06012
2,110,1,3,3.08537
2,706,3,3,3.06518
2,712,2,2,0.423467
2,903,1,5,3.74609
2,957,3,2,0.0160023
2,979,1,4,0.910159
2,1028,1,3,6.57331
2,1088,1,2,2.01981
2,1095,1,6,1.82686
2,1103,2,2,0.0461063
2,1286,1,8,1.86949
2,1353,2,2,1.40719
2,1389,3,3,2.2039
2,2480,1,8,2.06882
2,3166,1,7,1.29981
2,3340,1,7,1.87607
2,3748,1,2,0.47558
2,3978,2,17,4.61927
2,4027,1,3,0.957148
2,4270,1,5,1.4271
2,4274,1,2,0.937417
2,4338,1,3,0.596863
2,5135,2,2,0.702546
2,5286,1,2,0.331689
2,5406,2,4,2.20467
2,5427,1,2,0.377107
2,5797,1,2,3.10574
2,5963,1,3,1.61385
2,6887,1,2,0.782859
2,7093,2,2,0.735871
2,7670,2,2,1.02566
2,7736,3,4,1.30478
2,7826,1,2,0.561115
2,7845,2,3,0.418767
2,8921,3,3,2.59225
2,9496,1,2,0.0782475
2,9582,1,3,0.681322
2,9694,1,2,0.23765
2,9845,2,3,2.20725
2,9936,3,2,1.4179
2,10055,1,3,1.9065
2,10192,1,2,1.60673
2,10302,1,2,1.13335
2,10305,3,2,0.217101
2,10310,2,2,0.663153
2,10317,3,2,0.227807
2,10497,2,2,0.20619
2,10773,1,3,3.47764
2,10848,1,2,0.680204
2,10955,1,3,0.190315
2,11233,1,2,0.572397
2,11402,3,2,0.613648
2,11553,2,4,1.37928
2,11620,1,3,2.63193
2,11683,1,2,0.986437
2,11698,1,2,0.286942
2,11803,2,3,0.0779669
2,12440,1,2,1.06964
2,12597,3,2,0.329409
2,13076,1,2,0.796025
2,14043,1,2,0.615588
2,14434,1,3,0.359663
2,15595,1,2,0.367089
2,16182,1,6,2.73492
2,16510,2,8,1.88065
2,16878,1,3,0.712034
2,17414,1,4,0.676292
2,17598,1,2,0.462571
2,18060,2,4,0.472092
2,18083,1,3,0.188159
2,18639,2,3,0.642956
2,19653,1,2,0.0743429
2,20219,1,2,0.344288
2,20480,3,4,5.18822
2,20507,1,3,0.158664
2,20525,1,2,0.0721056
2,20698,2,5,5.35584
2,20753,3,2,0.755369
2,20821,3,2,0.667087
2,20946,1,3,0.759244
2,21137,3,3,3.42317
2,21183,1,2,0.546669
2,21271,2,2,0.0377097
2,21285,2,3,0.143694
2,21427,1,3,1.48787
2,21553,2,2,0.475456
2,21648,1,3,0.556095
2,21740,2,2,0.603194
2,21785,2,2,0.442737
