time,trunk_id,jam_duration,tree_size,tree_cost
0,75,1,2,2.60855
0,438,1,2,2.15058
0,1453,1,2,2.56284
0,1963,1,2,2.00651
0,2161,1,2,0.161135
0,2226,1,3,1.15071
0,5021,1,2,0.377293
0,8045,1,8,3.83125
0,9492,1,2,0.688051
0,9623,1,3,1.09674
0,12601,1,3,0.249059
0,12965,1,2,2.23297
0,14173,1,3,1.91921
0,14784,1,2,1.1276
0,14969,1,2,1.97885
0,15294,1,3,1.34305
0,15531,1,9,6.06194
0,15805,1,2,0.156156
0,15831,1,3,5.78105
0,16496,1,3,1.99621
0,16968,1,2,0.218472
0,18370,1,2,0.747747
0,18653,1,2,0.27891
0,19981,1,2,3.19269
0,20100,1,2,0.155847
0,21341,1,2,0.293405
0,21572,1,3,0.477979
0,23298,1,4,0.521934
0,23378,1,2,0.958872
0,24012,1,6,5.1707
0,24303,1,2,1.38139
0,24313,1,2,1.81494
0,25220,1,5,15.8446
0,25313,1,2,0.296422
0,25466,1,3,1.39722
0,25642,1,4,2.62913
0,25685,1,10,8.67889
0,25834,1,2,2.24161
0,25968,1,2,0.925502
0,26860,1,4,0.991864
0,27230,1,2,1.3799
0,27496,1,2,0.573494
0,29392,1,3,0.942757
0,29564,1,2,0.101702
0,29642,1,2,0.0364144
0,29678,1,2,0.799589
0,30308,1,5,0.704448
0,31335,1,4,0.489772
0,31578,1,2,0.410492
0,32134,1,2,2.87705
0,32776,1,4,1.02592
0,33002,1,2,0.523164
0,33118,1,2,0.838661
0,33191,1,2,0.376939
0,34263,1,2,3.51736
0,34326,1,4,6.48838
0,35680,1,5,5.30159
1,438,2,2,2.18772
1,635,1,5,2.3242
1,2164,1,2,0.365963
1,5021,2,2,0.377293
1,6251,1,2,0.124326
1,7565,1,2,0.280396
1,7755,1,2,4.34674
1,8045,2,8,4.09697
1,9046,1,3,0.303448
1,9396,1,2,0.146103
1,9492,2,2,0.688051
1,9623,2,3,1.09674
1,9721,1,2,1.4779
1,10466,1,2,0.697062
1,11113,1,2,0.157801
1,12146,1,4,2.88572
1,12249,2,3,0.0657786
1,12601,2,3,0.249059
1,12960,1,5,0.453909
1,12965,2,2,2.23297
1,14147,2,3,0.162638
1,14173,2,3,1.91921
1,14265,1,5,5.28689
1,14969,2,2,1.97885
1,15032,1,2,0.295848
1,15294,2,3,1.34305
1,15531,2,9,5.70586
1,15759,1,2,0.55078
1,15805,2,2,0.156156
1,15810,1,2,0.165533
1,15831,2,3,6.32591
1,17202,1,2,0.474735
1,19981,2,2,3.19269
1,20100,2,2,0.155847
1,20172,1,6,2.27969
1,20322,1,4,1.6006
1,20527,1,16,6.35371
1,21127,1,2,0.477144
1,22595,2,4,3.00782
1,23298,2,4,0.521934
1,23366,1,5,0.494327
1,23378,2,2,0.958872
1,23916,2,3,1.58312
1,24313,2,2,1.81494
1,24396,1,2,0.313786
1,25479,1,2,2.9772
1,25626,1,3,3.16446
1,25672,2,4,2.29261
1,25685,2,8,7.92045
1,25929,1,2,0.953216
1,25968,2,2,0.925502
1,26860,2,4,1.00717
1,27230,2,2,1.3799
1,27560,1,2,0.406525
1,28706,1,2,0.112954
1,29678,2,2,0.799589
1,30305,1,5,1.00656
1,31578,2,2,0.410492
1,32134,2,2,2.87705
1,32711,1,2,3.30443
1,32776,2,6,1.78314
1,32813,1,3,0.119714
1,33191,2,2,0.376939
1,33991,1,3,0.292408
1,34210,1,2,1.23821
1,34263,2,2,3.51736
2,635,2,5,2.3242
2,798,1,4,1.06429
2,1453,1,2,2.78079
2,5180,1,2,0.299003
2,6251,2,2,0.124326
2,7462,1,3,1.0008
2,7565,2,2,0.280396
2,8682,1,2,0.463826
2,8802,1,3,1.07326
2,9396,2,2,0.146103
2,9492,3,2,0.688051
2,9721,2,2,1.4779
2,10466,2,2,0.697062
2,11286,1,4,1.36941
2,11728,2,2,0.25871
2,12001,1,2,0.291281
2,12146,2,4,2.89117
2,12957,2,3,0.432452
2,15032,2,2,0.295848
2,15173,1,3,2.8419
2,15261,1,2,2.7574
2,15759,2,2,0.55078
2,15853,1,4,1.31859
2,16077,1,2,1.11401
2,16188,2,2,0.353357
2,17202,2,2,0.474735
2,17294,1,2,1.31198
2,17391,1,8,20.1621
2,19991,1,2,2.8672
2,20082,1,2,1.0981
2,20172,2,6,2.17348
2,20527,2,16,6.35371
2,20941,1,2,0.740662
2,20943,1,2,1.26674
2,21127,2,2,0.477144
2,21707,1,2,0.630314
2,22595,3,4,2.43368
2,23960,1,5,2.14481
2,24356,1,2,1.2538
2,25313,3,2,0.288359
2,25356,1,2,3.71707
2,25479,2,2,2.9772
2,25648,1,2,1.20594
2,25671,1,3,1.47979
2,25675,2,2,0.135318
2,25730,1,3,1.98095
2,25865,2,2,0.757214
2,25873,1,2,0.568844
2,25881,1,2,1.47153
2,25929,2,2,0.953216
2,26010,1,4,3.52581
2,27217,1,2,0.288304
2,27230,3,2,1.3799
2,30305,2,5,1.00656
2,34000,2,2,0.278997
2,34179,1,5,2.90065
2,34191,1,2,0.679563
2,34210,2,2,1.28524
3,42,1,5,3.17861
3,194,1,3,2.98237
3,798,2,4,1.06429
3,1453,2,4,3.87725
3,3949,1,2,5.84206
3,4792,1,3,0.615086
3,5180,2,2,0.299003
3,7128,1,4,2.11927
3,7462,2,2,0.688854
3,8260,1,2,6.17549
3,8802,2,3,1.07326
3,9005,1,5,3.35099
3,9583,1,2,0.180713
3,9896,2,3,0.909905
3,9899,1,4,2.41839
3,11092,1,4,2.00033
3,11271,3,3,2.60527
3,11728,3,5,2.47695
3,12001,2,2,0.291281
3,12020,2,3,1.41689
3,12313,1,2,0.485412
3,15225,1,3,2.12072
3,15781,1,2,7.16241
3,15802,2,5,7.89868
3,15805,1,3,0.179955
3,15810,1,3,1.60028
3,17294,2,2,1.31198
3,17735,1,3,0.987042
3,19981,1,2,1.46369
3,19991,2,2,3.05249
3,20115,2,2,0.556871
3,20171,3,3,0.711209
3,20330,1,3,1.52264
3,20943,2,2,1.26674
3,21707,2,2,0.630314
3,21785,1,3,1.33092
3,21854,1,2,0.749725
3,22595,4,4,2.53186
3,23162,1,2,1.15571
3,23960,2,3,1.19486
3,24602,1,2,0.369172
3,25356,2,2,3.71707
3,25368,1,4,1.65749
3,25379,1,2,2.88319
3,25479,3,3,4.24149
3,25601,1,2,1.24151
3,25648,2,4,3.06608
3,25730,2,3,1.98095
3,26010,2,2,1.15421
3,26477,1,2,0.483418
3,27170,1,3,2.25091
3,27550,1,2,0.276736
3,27967,1,3,0.700721
3,30515,1,2,0.499604
3,30653,1,5,0.440689
3,31904,1,4,0.259577
3,32787,1,2,1.24988
3,32788,1,3,0.251138
3,32892,1,2,1.06179
3,33881,1,4,1.87356
3,34188,1,2,4.06775
3,34191,2,2,0.679563
3,34210,3,3,2.63697
3,34303,1,3,0.275441
4,81,1,2,7.77218
4,194,2,3,2.98237
4,1447,1,3,1.49787
4,1453,3,4,5.82781
4,1947,1,5,7.40157
4,2243,1,3,3.39142
4,7128,2,4,2.11927
4,7819,1,3,0.645984
4,8172,1,3,0.520749
4,8260,2,2,6.04332
4,8873,3,2,1.55561
4,9142,1,3,0.402351
4,9426,1,2,0.589114
4,9684,1,2,0.757545
4,9694,1,2,2.31021
4,9885,1,2,0.858241
4,9899,2,4,2.41839
4,9906,1,4,2.23746
4,9908,1,3,0.831632
4,11092,2,4,2.00033
4,11116,3,4,2.21824
4,11271,4,3,2.60527
4,11996,1,2,0.891332
4,12378,1,2,0.868307
4,12488,1,2,0.851781
4,12601,1,2,0.299673
4,14467,2,3,0.691733
4,15261,1,2,2.75187
4,15681,1,3,0.640572
4,15781,2,2,7.16241
4,15802,3,5,7.40125
4,15805,2,3,0.203076
4,15810,2,3,1.60028
4,15823,1,2,0.115266
4,16025,1,3,1.3527
4,17296,1,2,1.42336
4,18744,1,2,0.500115
4,18891,1,7,6.84369
4,19981,2,2,3.19269
4,20115,3,2,0.556871
4,20160,1,5,1.48634
4,20171,4,3,0.711209
4,20943,3,2,1.26674
4,21701,1,2,0.370553
4,21785,2,2,0.519523
4,22236,1,3,3.24286
4,22267,1,4,1.41596
4,22574,1,2,0.662471
4,22595,5,4,2.73024
4,23789,1,2,0.398859
4,23960,3,3,1.19486
4,25332,1,4,11.0369
4,25374,1,2,1.28372
4,25379,2,2,2.88319
4,25730,3,3,1.98095
4,26247,1,2,2.86333
4,26465,1,2,0.871331
4,26477,2,2,0.483418
4,26859,2,6,1.3574
4,27031,1,4,2.0212
4,27344,1,4,0.831378
4,27507,3,2,0.617999
4,27967,2,3,0.700721
4,28749,1,5,0.617372
4,30653,2,5,0.440689
4,31798,1,3,2.07719
4,31904,2,4,0.259577
4,32711,1,2,3.00519
4,32892,2,2,2.21948
4,33118,1,2,0.838661
4,33881,2,4,1.87356
4,34175,1,5,4.30292
4,34188,2,2,4.06775
4,34320,1,2,1.11691
4,35784,1,2,0.706993
5,63,1,2,2.75127
5,1450,1,4,0.607361
5,2218,1,3,0.523972
5,7130,1,3,0.261075
5,8174,1,6,2.83462
5,8784,1,2,1.16405
5,8873,4,2,1.55561
5,9328,2,3,0.23154
5,9885,2,2,0.858241
5,9896,1,2,1.44196
5,11051,1,2,1.22979
5,12434,1,3,0.0835278
5,12863,1,2,0.0853468
5,13195,1,3,0.416519
5,13942,3,2,0.229066
5,14816,1,2,0.744543
5,15568,1,2,0.228981
5,15810,3,4,3.8237
5,15823,2,2,0.115266
5,15992,1,2,0.909809
5,16064,1,2,0.53178
5,16173,1,2,0.0164411
5,17433,2,5,3.31736
5,18744,2,3,0.459541
5,18891,2,7,6.84369
5,18996,1,3,1.42667
5,19981,3,2,3.19269
5,19991,1,2,3.34457
5,21145,1,2,0.442707
5,22267,2,4,1.41596
5,22595,6,2,0.370886
5,23789,2,2,0.398859
5,25311,1,3,1.30424
5,25374,2,2,1.28372
5,25479,1,2,2.9772
5,25490,1,3,1.99983
