time,trunk_id,jam_duration,tree_size,tree_cost
0,70,1,2,1.20057
0,168,1,3,1.538
0,1081,1,2,1.10746
0,1914,1,2,0.196158
0,2192,1,3,0.771403
0,4859,1,3,3.80449
0,4917,1,2,0.0917806
0,5020,1,9,2.31193
0,8482,1,2,0.670742
0,8569,1,2,0.706273
0,8851,1,4,1.23286
0,8864,1,2,4.22119
0,9139,1,4,0.907704
0,9198,1,2,0.841666
0,11271,1,3,0.890164
0,11444,1,4,1.10632
0,12636,1,4,1.51841
0,12926,1,2,0.433294
0,13192,1,2,3.42794
0,13390,1,4,1.2451
0,14582,1,2,0.531396
0,14843,1,2,0.516919
0,14916,1,7,3.33485
0,15038,1,3,0.219341
0,15285,1,2,6.7125
0,15606,1,4,2.16088
0,15798,1,2,1.48017
0,16031,1,5,1.23549
0,16410,1,3,1.14171
0,16664,1,2,0.33462
0,17578,1,2,0.315746
0,17774,1,2,0.164932
0,19981,1,2,3.19269
0,21704,1,2,1.60057
0,22595,1,3,3.78699
0,25020,1,4,9.75037
0,25395,1,2,0.662774
0,25643,1,2,0.495856
0,25871,1,6,7.74821
0,25975,1,3,0.595671
0,26508,1,2,0.644817
0,27496,1,4,0.914498
0,27510,1,2,0.343713
0,27560,1,2,0.406525
0,27773,1,5,1.36651
0,29764,1,2,0.0536701
0,32759,1,4,3.7558
0,33665,1,4,1.73522
0,34214,1,2,1.06613
0,34215,1,3,5.10576
0,34322,1,3,2.98749
0,34326,1,2,0.895223
0,35693,1,2,1.91866
1,1081,2,2,1.10746
1,1450,1,5,0.607361
1,1460,1,2,4.15675
1,2192,2,3,0.935643
1,2218,1,3,0.443798
1,4460,1,5,2.61042
1,5020,2,9,2.33274
1,7591,1,5,1.65523
1,8454,1,2,0.965618
1,8476,1,2,2.79438
1,8482,2,2,0.670742
1,8569,2,2,0.706273
1,8791,1,2,0.0618412
1,8802,1,3,1.07326
1,8831,1,2,1.72693
1,8864,2,2,4.22119
1,9140,2,3,0.285598
1,9686,1,2,0.972758
1,9693,2,3,1.49874
1,10745,1,2,0.261318
1,10816,1,2,0.478154
1,11271,2,3,0.890164
1,11584,2,2,0.605707
1,12488,1,2,0.851781
1,12572,2,3,0.43273
1,12760,1,3,1.68874
1,12960,2,2,0.0624311
1,13390,2,4,1.2451
1,14582,2,5,2.02601
1,14730,1,2,0.309698
1,14843,2,2,0.516919
1,14891,1,2,0.519081
1,14916,2,7,3.33485
1,15038,2,3,0.219341
1,15371,1,2,1.49401
1,15606,2,2,0.105602
1,15650,1,2,0.460867
1,15810,1,4,1.64937
1,16404,1,3,2.22221
1,16410,2,6,1.95795
1,16664,2,2,0.33462
1,19405,1,2,0.109065
1,19981,2,2,3.19269
1,20028,1,3,3.8188
1,20373,1,2,0.551905
1,21341,1,3,1.52503
1,21707,1,2,0.379073
1,22236,1,3,3.91963
1,22583,1,3,0.789893
1,23156,1,2,0.261049
1,23960,1,3,1.19486
1,25643,2,2,0.495856
1,26508,2,2,0.644817
1,27230,1,2,1.97673
1,27232,1,4,1.51073
1,27510,2,2,0.343713
1,27533,1,3,0.928891
1,27560,2,2,0.406525
1,27602,1,4,2.37709
1,27696,1,5,1.42599
1,28749,1,4,0.771069
1,29681,2,5,1.08989
1,29764,2,2,0.0536701
1,30594,1,2,0.58566
1,32761,1,2,1.65604
1,32850,1,4,1.58539
1,33118,1,2,1.5421
1,33629,2,2,0.696093
1,33908,1,5,3.67276
1,34214,2,2,0.987553
1,34328,1,2,2.78226
1,35693,2,2,1.91866
2,1450,2,4,0.748909
2,1453,1,2,2.72574
2,1460,2,2,4.15675
2,4505,2,2,1.48567
2,6716,1,2,0.168422
2,7591,2,5,1.65523
2,7731,1,2,0.532075
2,8454,2,2,0.991369
2,8699,1,2,0.235501
2,8791,2,2,0.0618412
2,8802,2,4,1.1705
2,8856,2,2,0.17438
2,8911,1,2,0.428857
2,9046,1,3,0.339635
2,9140,3,2,0.0863748
