date,exponent
20151008,1.96
20151009,1.85
20151010,1.73
20151012,1.86
20151013,1.87
20151014,1.85
20151015,1.84
20151016,1.86
20151020,1.82
20151021,1.84
20151022,1.85
20151023,1.75
20151026,1.81
20151027,1.86
20151028,1.88
20151029,1.79
20151030,1.8
