time,trunk_id,jam_duration,tree_size,tree_cost
0,1613,1,2,0.242508
0,1894,1,2,2.08155
0,1918,1,2,1.12033
0,2828,1,2,0.525553
0,3864,1,2,2.30487
0,3916,1,3,1.43613
0,3988,1,3,3.53872
0,5074,1,2,0.704491
0,5369,1,2,0.476896
0,6042,1,2,0.153979
0,6286,1,5,2.73212
0,6388,1,4,0.769163
0,6746,1,4,0.540038
0,8956,1,2,1.3777
0,9979,1,2,14.2802
0,10264,1,2,1.21991
0,10569,1,2,0.254966
0,11410,1,2,0.838024
0,13550,1,3,0.202734
0,13553,1,2,0.162789
0,14198,1,3,5.95216
0,14200,1,2,1.90835
0,14746,1,2,1.12382
0,16505,1,3,0.313323
0,17313,1,8,4.35993
0,17323,1,2,1.00023
0,17522,1,7,3.30179
0,18117,1,2,0.398254
0,18272,1,2,0.982294
0,18684,1,2,4.987
0,19158,1,2,1.14091
0,19349,1,2,0.75006
0,20989,1,2,8.02539
0,21067,1,12,58.7796
0,21548,1,19,128.167
0,22430,1,2,5.70919
1,75,1,3,7.29991
1,872,1,2,0.904752
1,1089,1,2,1.16895
1,1613,2,2,0.242508
1,1636,1,2,0.478008
1,1918,2,3,1.38509
1,2369,2,2,1.12087
1,2828,2,2,0.525553
1,3988,2,3,3.53872
1,5074,2,2,0.704491
1,5369,2,2,0.476896
1,5679,1,2,0.823704
1,6042,2,2,0.153979
1,6291,1,7,3.23816
1,6388,2,4,0.769163
1,6746,2,10,0.86065
1,6986,1,6,1.63904
1,7082,1,2,0.950999
1,7626,1,7,2.17958
1,8479,1,2,1.19454
1,8920,1,2,9.64222
1,9088,1,3,0.458035
1,9338,1,2,1.87142
1,9659,1,8,4.51042
1,9666,1,3,0.650113
1,9979,2,2,14.2802
1,10264,2,2,1.21991
1,10363,1,2,0.215277
1,11410,2,2,0.838024
1,13391,1,8,3.15532
1,13553,2,2,0.162789
1,13731,1,2,3.15197
1,14199,1,6,5.31469
1,14200,2,2,1.90835
1,14602,1,2,7.29702
1,14757,1,2,1.79666
1,14788,1,4,2.4193
1,15068,1,3,1.80229
1,15326,1,2,0.314587
1,17310,1,2,0.355342
1,17324,1,2,1.95513
1,17522,2,6,2.44271
1,17914,1,2,0.0533147
1,18117,2,2,0.398254
1,18438,2,6,2.9974
1,18684,2,2,4.987
1,19491,1,2,1.68083
1,20721,1,5,6.05192
1,20989,2,2,8.02539
1,21067,2,14,47.7648
1,21548,2,21,137.017
1,21561,1,8,82.7163
1,21781,1,3,3.78723
1,22097,1,2,0.691717
1,22430,2,2,5.70919
2,70,2,2,4.84654
2,75,2,3,7.83868
2,748,1,2,1.43704
2,818,1,6,2.55211
2,1089,2,3,2.1349
2,1253,1,2,0.89543
2,1267,1,2,0.0850697
2,1392,2,2,1.81229
2,1635,1,2,0.489242
2,1636,2,2,0.478008
2,2410,1,2,1.02791
2,2642,1,3,0.809866
2,3221,1,2,0.229325
2,4439,1,2,0.804356
2,4642,1,2,1.94669
2,4798,1,3,2.54259
2,5346,1,2,0.484783
2,6291,2,5,1.0149
2,6359,1,6,1.48391
2,6829,2,2,0.320612
2,6981,2,3,1.04615
2,7082,2,2,0.950999
2,8479,2,2,1.19454
2,8965,1,3,13.1416
2,8973,1,3,2.61439
2,9297,2,7,3.52726
2,9338,2,2,1.87142
2,9642,1,3,0.72249
2,9979,3,2,14.2802
2,10033,1,8,12.9765
2,10086,1,2,7.00875
2,10139,1,2,0.516455
2,10264,3,3,2.39335
2,10294,1,4,3.2399
2,10363,2,2,0.215277
2,10396,1,2,2.05654
2,10628,1,3,0.391224
2,10900,1,9,2.42798
2,11568,1,2,1.56659
2,12845,1,2,0.0819402
2,13552,1,2,0.0748991
2,13553,3,8,1.60497
2,13822,2,2,0.101793
2,14431,1,4,3.89504
2,14688,1,5,5.46729
2,14757,2,2,1.79666
2,14788,2,2,1.23693
2,14855,1,3,1.27936
2,14874,1,4,0.525478
2,15801,1,2,1.04722
2,16185,3,3,1.29823
2,17195,1,4,0.986919
2,17304,1,4,1.2073
2,17310,2,3,0.973814
2,17324,2,2,1.45405
2,17404,1,4,0.880239
2,18320,1,6,2.85927
2,18438,3,6,2.9974
2,18662,1,3,5.48978
2,18680,1,2,2.98865
2,20041,1,2,1.00328
2,20193,1,4,1.36662
2,20537,1,4,1.40952
2,21548,3,16,169.703
2,21581,2,8,45.9352
2,22686,1,3,0.741612
3,118,1,2,3.56279
3,793,1,2,0.7839
3,1089,3,2,1.20298
3,1232,1,2,0.799286
3,1267,2,2,0.0850697
3,1522,1,2,0.709332
3,3221,2,2,0.229325
3,4064,1,2,0.520033
3,4356,1,2,0.693748
3,4621,1,2,0.820597
3,6359,2,6,1.48391
3,6981,3,8,8.49572
3,8916,1,3,10.5223
3,8920,1,2,7.78768
3,8956,1,2,2.50602
3,9006,1,5,0.378474
3,9299,1,2,0.957929
3,9309,1,2,0.856069
3,9456,3,8,2.24616
3,9642,2,3,0.72249
3,9979,4,2,14.2802
3,10086,2,2,7.00875
3,10139,2,6,2.41325
3,10174,1,6,3.32348
3,10241,1,2,1.28404
3,10264,4,2,1.91581
3,10294,2,4,3.2399
3,10363,3,2,0.215277
3,10396,2,2,2.05654
3,10628,2,3,0.311158
3,10900,2,5,2.65662
3,11568,2,2,1.56659
3,12858,1,10,3.39677
3,13288,1,4,1.70948
3,13405,1,2,0.358978
3,13553,4,4,1.21777
3,13721,1,5,2.86251
3,13763,1,3,0.400472
3,14226,1,3,1.49055
3,14746,1,2,2.15083
3,14757,3,2,1.79666
3,14788,3,5,2.55392
3,14823,1,5,3.50285
3,14847,1,2,0.252757
3,14855,2,3,1.27936
3,14861,1,2,0.142883
3,14874,2,4,0.525478
3,15396,1,2,0.306017
3,15801,2,2,1.04722
3,15884,1,2,0.58683
3,17114,2,4,0.664917
3,17195,2,5,1.50475
3,17196,1,2,0.0238165
3,17310,3,2,0.719562
3,17555,2,2,0.94533
3,18857,1,2,1.98675
3,18898,1,2,2.3678
3,20041,2,2,1.00328
3,20537,2,4,1.40952
3,20609,1,10,5.82055
3,21548,4,15,168.168
3,21574,3,3,23.9981
3,21731,1,2,13.2205
4,305,1,2,4.40803
4,801,1,2,5.97226
4,1259,1,4,1.2696
4,2263,1,3,0.491694
4,2410,1,4,1.16359
4,4064,2,2,0.520033
4,4356,2,2,0.693748
4,4628,3,3,2.71817
4,6077,1,2,0.364152
4,6981,4,3,1.20113
4,6986,1,3,0.254986
4,7626,1,7,1.99402
4,8009,2,7,3.16107
4,8114,1,2,0.69446
4,8847,1,4,1.82503
4,9006,2,5,0.378474
4,9299,2,2,0.957929
4,9664,2,2,0.618502
4,9979,5,2,14.2802
4,10171,1,2,1.75255
4,10174,2,6,3.81095
4,10241,2,2,1.71152
4,10264,5,2,1.91581
4,10320,1,2,3.15265
4,10363,4,2,0.215277
4,12225,1,3,2.70775
4,13391,1,4,2.06308
4,13763,2,4,1.17212
4,13789,1,2,0.226947
4,14154,1,4,3.71765
4,14226,2,3,1.49055
4,14488,1,4,4.2729
4,14634,1,4,10.9782
4,14806,1,2,0.743071
4,14847,2,2,0.252757
4,14934,1,4,1.98545
4,15070,1,2,1.34455
4,15884,2,2,0.621742
4,17195,3,4,1.3694
4,17196,2,2,0.0212559
4,17555,3,3,1.95425
4,19489,1,4,2.38005
4,20041,3,2,1.00328
4,20530,1,2,0.568736
4,20555,1,4,2.79311
4,20888,1,2,0.518726
4,20957,3,2,0.9435
4,21008,1,4,1.64949
4,21397,1,2,1.27581
4,21578,5,8,68.9859
4,21775,1,3,1.59258
5,305,2,2,3.97396
5,739,1,2,2.53171
5,801,2,2,5.97226
5,895,2,4,2.31419
5,915,1,2,3.39469
5,1917,3,2,0.436442
5,1944,1,8,1.37217
5,2410,2,2,1.30268
5,3097,2,3,0.653926
5,4247,1,4,0.849432
5,4690,2,5,3.84872
5,4756,1,2,0.105722
5,4796,1,2,0.587918
5,6287,1,3,0.29413
5,6388,1,7,0.958665
5,6391,1,3,1.07173
5,7336,1,2,0.350445
5,7599,1,4,1.33284
5,7626,2,7,1.99402
5,7918,1,2,0.787031
5,8009,3,5,2.79808
5,8114,2,2,0.69446
5,8432,1,4,3.95534
5,8523,1,6,1.12773
5,8761,1,2,1.04309
5,8847,2,7,3.68762
5,9113,1,3,1.71328
5,9297,1,5,3.28139
5,9629,1,3,0.890919
5,10363,5,2,0.215277
5,10907,1,2,0.695227
5,12225,2,3,2.70775
5,12884,1,2,0.551092
5,12942,1,7,2.2364
5,13281,3,2,1.8149
5,13519,1,4,0.561103
5,14177,6,2,2.15336
5,14487,1,2,3.68236
5,14602,2,2,6.6551
5,14634,2,6,12.3207
5,14682,1,5,1.61862
5,14686,1,2,1.23836
5,14703,1,2,1.67704
5,14757,1,2,2.22689
5,14777,1,2,1.62237
5,14806,2,2,0.743071
5,14847,3,2,0.252757
5,14924,1,2,0.51266
5,14942,1,2,2.05559
5,15070,2,2,1.11652
5,15156,1,6,2.75452
5,17195,4,4,1.82841
5,17196,3,2,0.0212559
5,17324,1,3,2.08449
5,17555,4,3,1.95425
5,18857,1,5,3.86743
5,18860,1,3,2.24715
5,18863,1,2,2.18602
5,18876,1,4,2.27483
5,18880,1,3,3.13091
5,18981,1,3,1.95753
5,19067,1,2,1.11859
5,19440,2,2,0.53428
5,19485,1,6,3.65997
5,19599,1,3,0.987946
5,19642,1,5,2.61393
5,19647,1,2,0.60588
5,19727,1,3,1.27355
5,20593,1,2,0.710282
5,20605,1,6,3.90784
5,21006,2,36,136.27
5,21397,2,2,1.27581
5,21569,1,21,54.2085
5,21731,1,2,38.1221
6,2,1,3,7.20789
6,305,3,2,2.58322
6,848,1,2,3.54992
6,895,3,3,1.7027
6,1050,1,2,1.34232
6,1917,4,2,0.436442
6,2833,2,4,0.555274
6,4247,2,4,1.64207
6,5216,2,4,3.00694
6,6391,2,2,0.902167
6,7082,1,2,0.950999
6,7336,2,2,0.350445
6,8441,1,2,3.61253
6,8453,1,3,4.88783
6,8523,2,6,1.12773
6,9113,2,3,0.886282
6,9297,2,5,1.96846
6,9629,2,3,0.8763
6,9667,1,5,3.72608
6,10068,1,2,1.36463
6,11718,1,3,0.327256
6,11826,1,5,2.14233
6,12077,1,3,0.966722
6,12884,2,2,0.551092
6,12942,2,10,2.3958
6,13281,4,2,1.8149
6,13284,1,2,1.25607
6,13406,1,2,0.519006
6,13519,2,4,0.561103
6,13658,1,4,25.8203
6,14177,7,2,2.73618
6,14214,1,2,1.97283
6,14487,2,2,4.3464
6,14682,2,5,1.61862
6,14686,2,4,1.25137
6,14739,1,2,1.16961
6,14746,1,5,4.53525
6,14751,2,4,3.92976
6,14777,2,2,1.62237
6,14942,2,2,2.05559
6,14964,1,2,2.01899
6,15156,2,6,2.75452
6,15396,2,2,0.681123
6,16616,1,3,0.566291
6,17115,2,2,0.814849
6,17312,1,4,0.382481
6,17324,2,3,2.08449
6,18630,1,2,5.9527
6,18667,1,7,9.69912
6,18857,2,5,3.48565
6,18860,2,3,3.0687
6,18863,2,2,2.18602
6,18876,2,5,2.89716
6,18981,2,3,1.95753
6,19067,2,2,1.11859
6,19485,2,3,3.39369
6,19599,2,3,0.987946
6,19641,2,2,0.82686
6,19727,2,3,1.27355
6,20097,1,3,0.664872
6,20104,1,7,4.5847
6,20155,1,6,3.95311
6,20593,2,2,0.710282
6,20605,2,3,0.847383
6,20735,1,7,4.80551
6,20821,2,4,1.0394
6,20946,2,14,102.966
6,21548,2,6,67.956
6,21731,2,2,38.1221
6,22604,2,2,0.0869829
7,305,4,2,4.90164
7,807,1,2,5.00369
7,811,1,11,2.56796
7,910,1,11,2.98845
7,1063,1,2,0.680223
7,1150,1,2,1.33415
7,1314,1,2,2.5493
7,2360,1,4,1.3108
7,2366,1,8,1.44204
7,3157,1,4,2.76541
7,4247,3,4,1.94974
7,4248,2,2,0.557668
7,5216,3,4,2.983
7,5917,1,3,1.08463
7,6177,1,2,0.736393
7,6388,1,2,0.502842
7,7082,2,2,0.706174
7,8765,1,6,0.811338
7,8775,1,2,1.14022
7,9091,2,2,1.28466
7,9113,3,3,0.901992
7,9248,1,5,2.32012
7,9276,1,2,0.404656
7,9642,1,3,0.72249
7,10086,3,2,7.00875
7,10138,1,3,3.32892
7,10143,1,2,1.8483
7,11568,2,2,1.56659
7,11578,1,8,1.58637
7,11718,2,3,0.327256
7,11826,2,2,1.25899
7,12077,2,2,0.441879
7,13390,1,8,1.31627
7,13406,2,2,0.519006
7,14214,2,2,1.97283
7,14593,1,2,3.63741
7,14691,1,5,2.42623
7,14739,2,2,1.16961
7,14751,3,4,4.17965
7,14894,1,3,0.680351
7,15396,3,3,0.100339
7,15519,1,2,0.037558
7,15893,1,2,0.546432
7,15944,1,3,1.26692
7,16185,1,4,2.18109
7,16350,1,6,2.98329
7,16371,1,3,0.523494
7,16505,1,2,0.040627
7,16616,2,3,0.566291
7,16786,1,5,3.2331
7,17115,3,2,0.768664
7,17312,2,4,0.622344
7,17853,1,2,0.706659
7,18003,1,4,3.10179
7,18264,3,2,1.89617
7,18437,1,4,1.39179
7,18660,1,3,8.4378
7,18860,3,4,3.52719
7,18952,1,3,1.29397
7,19127,1,3,1.43052
7,19367,1,2,0.784036
7,19627,1,2,0.594395
7,19629,1,6,1.09111
7,19943,3,2,0.526025
7,20004,1,2,0.897683
7,20041,2,2,1.1736
7,20104,2,8,4.76164
7,20155,2,5,2.4303
7,20522,1,5,1.08596
7,20626,1,2,0.557186
7,20777,3,2,0.618988
7,21035,1,5,6.02095
7,21548,3,12,92.2774
7,21584,3,11,98.1722
8,627,1,2,0.209758
8,781,1,2,1.23558
8,811,2,11,2.56796
8,910,2,11,2.98845
8,1150,2,2,1.33415
8,2360,2,4,1.3108
8,2366,2,6,1.54994
8,2450,1,5,1.3764
8,2916,2,2,0.722399
8,3060,1,2,2.42839
8,3292,1,2,0.767537
8,3371,1,2,0.399141
8,4742,1,3,6.31572
8,4760,1,4,5.46989
8,6177,2,2,0.736393
8,7102,1,2,0.130378
8,7626,1,9,3.65776
8,7852,1,2,0.454451
8,8432,1,2,2.81151
8,8762,1,9,5.32765
8,9088,1,3,0.801395
8,9091,3,2,1.28466
8,9110,1,6,1.37108
8,9248,2,9,2.70818
8,9276,2,2,0.404656
8,9295,1,5,1.72203
8,9642,2,5,0.826327
8,9979,1,2,14.2802
8,10086,4,2,7.00875
8,10264,1,3,1.28706
8,10491,1,4,3.59286
8,11826,3,2,1.25899
8,13540,1,2,0.326208
8,13719,2,2,8.76498
8,14174,1,2,3.7533
8,14691,2,4,1.19523
8,14703,1,2,1.15821
8,14751,4,4,3.94098
8,14757,1,2,1.79666
8,15080,1,5,2.33826
8,15156,1,3,1.53802
8,15353,2,2,0.0453291
8,15354,1,3,1.60499
8,15944,2,3,1.26692
8,16353,2,6,2.29849
8,16371,2,3,0.523494
8,16786,2,4,2.01336
8,17115,4,2,0.65384
8,17305,1,5,2.90235
8,17309,1,5,1.78716
8,17312,3,5,0.817064
8,17554,2,7,1.54885
8,18003,2,5,2.03201
8,18264,4,2,1.89617
8,18437,2,4,1.39179
8,18654,3,2,9.05322
8,19329,1,3,1.10819
8,19570,3,3,1.13391
8,19611,1,2,1.7044
8,19627,2,2,0.594395
8,19629,2,18,10.4639
8,19638,1,2,0.850842
8,19943,4,2,0.478633
8,20004,2,2,0.897683
8,20045,1,2,0.151034
8,20102,1,2,1.05003
8,20104,3,8,3.35434
