time,trunk_id,jam_duration,tree_size,tree_cost
0,720,1,4,4.44069
0,915,1,2,4.124
0,1140,1,2,0.105062
0,3157,1,5,4.45431
0,3923,1,3,2.38298
0,3937,1,2,1.68045
0,4608,1,3,4.48157
0,4637,1,5,4.96956
0,6099,1,2,0.651188
0,6748,1,5,0.72948
0,7293,1,2,2.61735
0,10156,1,2,0.338568
0,10176,1,3,0.927899
0,10264,1,3,1.4594
0,10848,1,3,0.393809
0,10900,1,9,2.66487
0,10995,1,2,0.838538
0,11078,1,4,1.07814
0,11501,1,3,0.907236
0,12841,1,4,1.18589
0,13318,1,2,0.281627
0,14688,1,3,2.90445
0,14734,1,2,1.5946
0,14741,1,2,2.4839
0,14757,1,4,3.64656
0,14779,1,2,0.202304
0,14904,1,2,1.8501
0,14961,1,2,1.35858
0,17176,1,2,0.580441
0,17196,1,7,1.95405
0,18676,1,5,3.27936
0,18684,1,2,6.88022
0,18695,1,6,5.25965
0,18868,1,2,2.1765
0,19257,1,3,1.75459
0,19435,1,4,1.10182
0,20178,1,2,0.706423
0,20220,1,6,2.95514
0,20499,1,5,2.15235
0,22601,1,3,0.837088
0,22608,1,2,0.645626
1,632,1,2,1.17523
1,915,2,2,2.2296
1,1140,2,2,0.105062
1,2916,2,2,1.00269
1,3378,2,2,0.684957
1,4457,1,2,0.30489
1,4637,2,3,3.62997
1,4821,1,2,0.14575
1,5150,1,2,0.461765
1,5322,1,2,0.910124
1,6099,2,2,0.651188
1,6975,1,3,1.02014
1,7182,1,4,0.857321
1,7293,2,2,2.61735
1,8448,1,3,2.83574
1,8512,1,2,0.454936
1,9591,1,2,4.8162
1,9973,1,3,8.78786
1,10086,1,2,7.00875
1,10180,2,2,1.25224
1,10264,2,2,0.981859
1,10900,2,5,1.64785
1,10995,2,2,0.838538
1,11078,2,4,1.20492
1,11501,2,3,0.907236
1,11824,2,3,0.653969
1,12841,2,4,1.18589
1,13318,2,2,0.281627
1,13324,1,2,0.362906
1,14199,2,4,0.819395
1,14688,2,3,2.90445
1,14741,2,2,2.4839
1,14904,2,2,1.8501
1,15462,1,3,0.94598
1,16185,1,3,1.23492
1,16350,1,7,2.23818
1,16748,1,3,1.13725
1,16786,1,5,2.72197
1,17310,2,11,5.05669
1,18676,2,3,3.24051
1,18692,1,2,5.5318
1,18695,2,4,5.22079
1,18720,1,2,0.197801
1,18868,2,3,2.22444
1,19074,1,3,0.0773732
1,19434,2,2,0.833686
1,19640,1,3,1.27323
1,20119,1,8,3.32211
1,20178,2,2,0.706423
1,20762,1,4,1.50333
1,20888,1,2,0.518726
1,21780,1,3,2.22511
1,21993,1,2,2.78283
1,22601,2,3,0.881849
2,915,3,2,2.86828
2,974,1,2,1.66913
2,990,1,2,0.0616061
2,2356,1,3,3.34087
2,2407,1,2,1.13447
2,2916,3,2,1.00269
2,4457,2,2,0.30489
2,4789,2,2,7.40344
2,5158,1,3,0.339189
2,5469,1,2,2.10188
2,6185,1,4,1.77273
2,6975,2,3,1.02014
2,8432,1,2,2.09313
2,8512,2,2,0.559583
2,9268,1,5,2.66405
2,9462,1,4,0.487973
2,9979,1,2,14.2802
2,10022,1,2,2.1452
2,10086,2,2,7.00875
2,10144,3,2,1.75038
2,10174,1,2,1.59333
2,10180,3,2,1.22444
2,12861,1,3,1.38702
2,12993,3,13,3.37211
2,13391,2,2,1.44626
2,13725,1,2,0.596688
2,14473,1,2,0.18938
2,14688,3,5,2.19383
2,14691,1,2,0.492618
2,14741,3,6,7.64075
2,14757,1,2,2.22689
2,14835,1,4,6.56097
2,14923,2,2,1.54465
2,15370,1,2,0.800344
2,15462,2,3,0.94598
2,16322,1,3,0.924597
2,16350,2,9,2.80123
2,16738,2,2,1.52619
2,16748,2,3,1.55871
2,16786,2,5,2.72197
2,17195,3,5,0.754353
2,17310,3,3,0.911862
2,17314,2,2,0.164065
2,17404,2,7,2.18272
2,18003,1,2,0.843107
2,18128,1,2,0.18682
2,18438,1,5,1.40608
2,18692,2,2,5.5318
2,18720,2,4,0.267244
2,18817,1,2,0.167405
2,18851,1,2,0.16117
2,18900,3,4,4.4418
2,19074,2,4,0.098302
2,19571,1,4,2.87623
2,19640,2,3,1.27323
2,19697,1,6,2.16187
2,20119,2,9,3.35014
2,20550,1,3,2.86646
2,20609,1,4,1.64499
2,20762,2,4,1.50333
2,21402,1,2,1.2193
2,21494,1,2,1.76515
2,21780,2,3,2.22511
2,22601,3,2,0.210145
3,404,1,2,3.46047
3,691,1,2,4.04129
